exp,,min,,old,,koch,
X,Y,X,Y,X,Y,X,Y
,,0.040794690753344784,26.50170249265716,0.06899449780548311,547.2418673780667,0.08130632063269937,670.0341798144152
,,0.04366107965990289,85.59485636916554,0.06959507452876196,549.9190695718129,0.08174310370417488,657.8529098328697
,,0.04426165638318173,98.4454268991476,0.0701956512520408,552.4502425549912,0.08201609312384708,649.7543731967871
,,0.0446165426287556,103.60512567254955,0.07079622797531963,554.8353863276016,0.08346293704810975,606.0862307476815
,,0.04592689184318216,130.37714761001212,0.07139680469859848,557.3665593107798,0.08392701906155249,593.1984768538973
,,0.04680045798613319,149.65300340498527,0.07199738142187732,559.9950851010035,0.08433650319106079,581.2179970368829
,,0.047264539999575944,163.39597466621615,0.07259795814515617,562.2341996630457,0.08466409049466743,571.1517167883969
,,0.0477559209549859,174.64022387995044,0.073198534868435,563.061698522931,0.08641122278056952,516.4297039482233
,,0.04808350825859255,181.4224694374409,0.07379911159171385,564.7166962427013,0.08684800585204504,503.8850993832408
,,0.04873868286580582,192.48823850492545,0.07425773381676315,564.1909910846566,0.08728478892352055,491.62096361950796
,,0.050813402455314544,244.4746374671256,0.07718418039564913,570.5578646654205,0.08785806670483218,476.87404153562227
,,0.05141397917859339,257.6659428217663,0.07778475711892797,571.4827163323511,0.0897962915845048,434.2639348019743
,,0.05422577020121706,321.9041925506199,0.07838533384220682,571.5800691393963,0.09036956936581643,421.97801055285515
,,0.054744450098594244,333.6065408063952,0.07898591056548566,571.5800691393963,0.09091554820516083,411.00148155849547
,,0.055263129995971425,345.8919242065864,0.0795864872887645,571.5800691393963,0.09146152704450523,399.3288799937617
,,0.05580910883531583,357.8857900345697,0.08018706401204334,571.5800691393963,0.09350894769204673,356.33301276219674
,,0.05635508767466023,370.0938320380526,0.08078764073532219,571.5800691393963,0.09410952441532558,345.28346916255305
,,0.05690106651400463,382.2483299976607,0.08138821745860103,571.5800691393963,0.09471010113860441,333.9418671417735
,,0.05741974641138181,394.170803767144,0.08198879418187986,571.5800691393963,0.0952287810359816,323.73807605333604
